base-devel,is a group package with sudo and compilation software.
clipmenu,clipmenud in bg remembers your clips, reclip from dmenu
ttf-google-fonts-git,huge fonts package
all-repository-fonts,even more fonts
ttf-junicode,Junius font containing almost complete medieval latin script glyphs
ttf-emojione,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
ttf-symbola,needed provides unicode and emoji symbols.
google-chrome,
xorg-xrandr,adjusts screen resolution
nvidia,latest Nvidia drivers right there
git,
subversion,
i3-gaps-next-git,cutting edge version
xorg-server,is the graphical server
xorg-xdpyinfo,retrieves screen information for some scripts.
xorg-xwininfo,allows querying information about windows.
xorg-xinit,gives that startx command and reads xinitrc
xorg-xinput,cli interdace for controlling mouse speed
dropbox,
ranger,is an extensive terminal file manager that everyone likes.
calcurse,is a lightweight terminal-based calendar.
xcompmgr,for transparency and removing screen-tearing.
dunst,is a suckless notification system.
feh,is a minimal image viewer (uset for bg too).
tree, -a (all) -L 2 level tree 
i3blocks,is the status bar.
bettercap,Swiss army knife for network attacks and monitoring
neovim,
python-neovim,
python2-neovim,
neovim-symlinks,
mpd,is a lightweight music daemon.
mpc,is a terminal interface for mpd.
mpv,is the patrician's choice video/gif player.
ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
networkmanager,does exactly what it sounds like.
newsboat,is a terminal RSS client.
pulseaudio,is the audio system (>inb4 bloat).
pulseaudio-alsa,is an audio interface with ALSA.
pulsemixer,is an intuitive ncurses audio controller.
python-pywal,generates color schemes based on your wallpaper.
sc-im,is an Excel-like terminal spreadsheet manager.
htop-vim-git,provides system usage information and displays processes.
scrot,can take quick screenshots at your request.
unclutter-xfixes-git,hides an inactive mouse.
unrar,extracts rar's.
unzip,unzips zips.
w3m,is a terminal browser which can also view images.
wget,downloads sites and files on the command line.
xclip,allows for copying and pasting from the command line.
xdotool,provides window action utilities on the command line.
xssstate,times out the screen if locked.
youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
youtube-viewer,is a terminal interface for watching YouTube videos without a browser.
zathura,is a pdf viewer with vim-like bindings.
zathura-djvu,gives zathura the ability to read .djvu files.
zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
poppler,manipulates .pdfs and gives .pdf previews in ranger.
mediainfo,shows audio and video information and is used by ranger as well.
fzf,is a fuzzy finder tool.
highlight,can highlight code output.
task-spooler,man tsp - queues commands or files for download.
termite,asd
light,i3 bound
psysh,php repl
exa,ls replacement aliased into ls
clipnotify,this will be utilized by clipmenu underhood and thus will result in better performance
dialog,will be needed anyways
dmenu-ee-git,dmenu-extended-edition (a program launcher)
xst,a somebodies work on terminal (st fork)
crystal,promising language
